iter	Passed	Remaining
0	1	147
1	2	126
2	3	114
3	4	103
4	5	99
5	6	96
6	7	94
7	8	92
8	8	90
9	9	89
10	10	87
11	11	86
12	12	85
13	14	89
14	15	88
15	16	86
16	17	84
17	18	83
18	19	82
19	20	81
20	21	80
21	22	79
22	23	78
23	24	77
24	25	75
25	26	74
26	27	73
27	28	72
28	29	71
29	30	70
30	31	69
31	32	69
32	33	68
33	34	66
34	35	65
35	36	64
36	37	63
37	38	62
38	39	61
39	40	60
40	41	59
41	41	57
42	42	56
43	43	55
44	44	54
45	45	53
46	46	52
47	48	52
48	49	51
49	50	50
50	51	49
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	72	29
71	73	28
72	74	27
73	75	26
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
